"","file_name","well","well2","the_median","dev"
"1","SampleID%.0153_singlets.fcs","A01","A01_1",24.7177791595459,34.8661449202888
"2","SampleID%.0154_singlets.fcs","A02","A02_1",33.3414058685303,46.0028649173032
"3","SampleID%.0155_singlets.fcs","A03","A03_1",23.3676137924194,33.3563339768786
"4","SampleID%.0156_singlets.fcs","A04","A04_1",46.2432765960693,59.2983281103365
"5","SampleID%.0157_singlets.fcs","A05","A05_1",18.9365367889404,35.0339526949672
"6","SampleID%.0158_singlets.fcs","A06","A06_1",49.9949817657471,62.1333313200373
"7","SampleID%.0159_singlets.fcs","A07","A07_1",15.0504231452942,24.8114203391217
"8","SampleID%.0160_singlets.fcs","A08","A08_1",36.4148101806641,52.8357179381404
"9","SampleID%.0161_singlets.fcs","A09","A09_1",49.2650737762451,65.7272873570047
"10","SampleID%.0162_singlets.fcs","A10","A10_1",41.6697845458984,62.2072360845552
"11","SampleID%.0163_singlets.fcs","A11","A11_1",49.3830852508545,65.0232820438849
"12","SampleID%.0164_singlets.fcs","A12","A12_1",27.7047967910767,43.1315818845454
"13","SampleID%.0165_singlets.fcs","A01","A01_2",28.4033613204956,37.0470364326802
"14","SampleID%.0166_singlets.fcs","A02","A02_2",35.8543567657471,49.8689020387792
"15","SampleID%.0167_singlets.fcs","A03","A03_2",23.0938129425049,35.0024027515589
"16","SampleID%.0168_singlets.fcs","A04","A04_2",62.8845539093018,79.7436590029109
"17","SampleID%.0169_singlets.fcs","A05","A05_2",18.7068824768066,33.5070357027407
"18","SampleID%.0170_singlets.fcs","A06","A06_2",52.1279811859131,65.9553419673795
"19","SampleID%.0171_singlets.fcs","A07","A07_2",19.4511156082153,31.3373741288536
"20","SampleID%.0172_singlets.fcs","A08","A08_2",31.7676248550415,48.5827351055559
"21","SampleID%.0173_singlets.fcs","A09","A09_2",50.6834621429443,67.5071147256383
"22","SampleID%.0174_singlets.fcs","A10","A10_2",47.8868598937988,66.9653470311408
"23","SampleID%.0175_singlets.fcs","A11","A11_2",54.4717254638672,73.7136348332528
"24","SampleID%.0176_singlets.fcs","A12","A12_2",28.5040378570557,42.1536269370608
"25","SampleID%.0177_singlets.fcs","A01","A01_3",26.1040296554565,36.7536555983213
"26","SampleID%.0178_singlets.fcs","A02","A02_3",33.4843807220459,48.4760015740497
"27","SampleID%.0179_singlets.fcs","A03","A03_3",22.9474124908447,36.4105400601168
"28","SampleID%.0180_singlets.fcs","A04","A04_3",53.5557136535645,67.0385196566467
"29","SampleID%.0181_singlets.fcs","A05","A05_3",20.3475313186646,34.7164237119132
"30","SampleID%.0182_singlets.fcs","A06","A06_3",50.4140968322754,69.1195832559983
"31","SampleID%.0183_singlets.fcs","A07","A07_3",20.2017621994019,31.8666901765248
"32","SampleID%.0184_singlets.fcs","A08","A08_3",34.3140506744385,51.8987714078075
"33","SampleID%.0185_singlets.fcs","A09","A09_3",47.7911376953125,63.3977612841726
"34","SampleID%.0186_singlets.fcs","A10","A10_3",47.4358692169189,61.1412255957914
"35","SampleID%.0187_singlets.fcs","A11","A11_3",52.0700874328613,67.4381266712873
"36","SampleID%.0188_singlets.fcs","A12","A12_3",30.7430448532104,45.0850404274259
"37","SampleID%.0189_singlets.fcs","B01","B01_1",58.7885227203369,67.1205677722233
"38","SampleID%.0190_singlets.fcs","B02","B02_1",27.0411262512207,38.3164609688869
"39","SampleID%.0191_singlets.fcs","B03","B03_1",86.5824699401855,100.417871233146
"40","SampleID%.0192_singlets.fcs","B04","B04_1",72.5564193725586,80.0655341347194
"41","SampleID%.0193_singlets.fcs","B05","B05_1",75.8622627258301,80.0498377189028
"42","SampleID%.0194_singlets.fcs","B06","B06_1",41.5056781768799,58.5536577389147
"43","SampleID%.0195_singlets.fcs","B07","B07_1",41.0459308624268,56.0031662758527
"44","SampleID%.0196_singlets.fcs","B08","B08_1",31.4463472366333,49.7089410587107
"45","SampleID%.0197_singlets.fcs","B09","B09_1",63.5643939971924,72.6106449554737
"46","SampleID%.0198_singlets.fcs","B10","B10_1",37.6293296813965,54.7852875722291
"47","SampleID%.0199_singlets.fcs","B11","B11_1",50.5731410980225,65.2968397404808
"48","SampleID%.0200_singlets.fcs","B12","B12_1",41.9582557678223,56.8755277985538
"49","SampleID%.0201_singlets.fcs","B01","B01_2",57.7578678131104,65.7687849686438
"50","SampleID%.0202_singlets.fcs","B02","B02_2",27.5213098526001,44.8593428415063
"51","SampleID%.0203_singlets.fcs","B03","B03_2",90.1028594970703,87.8066100761153
"52","SampleID%.0204_singlets.fcs","B04","B04_2",72.6591339111328,76.1570480579197
"53","SampleID%.0205_singlets.fcs","B05","B05_2",69.2475471496582,77.1927103335364
"54","SampleID%.0206_singlets.fcs","B06","B06_2",41.8717575073242,56.4110128020254
"55","SampleID%.0207_singlets.fcs","B07","B07_2",46.5626564025879,62.320874364887
"56","SampleID%.0208_singlets.fcs","B08","B08_2",34.7022361755371,47.707397110839
"57","SampleID%.0209_singlets.fcs","B09","B09_2",59.9097995758057,72.0256670212048
"58","SampleID%.0210_singlets.fcs","B10","B10_2",39.2976036071777,52.953873311367
"59","SampleID%.0211_singlets.fcs","B11","B11_2",49.3572998046875,64.1530230038568
"60","SampleID%.0212_singlets.fcs","B12","B12_2",46.4370975494385,61.2680052276586
"61","SampleID%.0213_singlets.fcs","B01","B01_3",50.5055370330811,59.3660471662061
"62","SampleID%.0214_singlets.fcs","B02","B02_3",25.2356433868408,40.9247678416382
"63","SampleID%.0215_singlets.fcs","B03","B03_3",94.7107849121094,104.395137698313
"64","SampleID%.0216_singlets.fcs","B04","B04_3",70.813102722168,79.8499512629857
"65","SampleID%.0217_singlets.fcs","B05","B05_3",62.7471714019775,69.4095937022346
"66","SampleID%.0218_singlets.fcs","B06","B06_3",39.488431930542,55.3245222187588
"67","SampleID%.0219_singlets.fcs","B07","B07_3",44.1021213531494,60.1318050284903
"68","SampleID%.0220_singlets.fcs","B08","B08_3",31.2680473327637,45.755328406207
"69","SampleID%.0221_singlets.fcs","B09","B09_3",60.164213180542,71.3433084346782
"70","SampleID%.0222_singlets.fcs","B10","B10_3",36.3097114562988,54.5436490690402
"71","SampleID%.0223_singlets.fcs","B11","B11_3",49.6531944274902,65.5318714914635
"72","SampleID%.0224_singlets.fcs","B12","B12_3",38.8809013366699,52.2924309937944
"73","SampleID%.0225_singlets.fcs","BY4741","BY4741_1",13.6597218513489,27.3250707315721
"74","SampleID%.0226_singlets.fcs","SBY1","SBY1_1",13.0058560371399,27.2253851245695
"75","SampleID%.0227_singlets.fcs","yBL216","yBL216_1",27.8860130310059,46.2216526003171
"76","SampleID%.0228_singlets.fcs","BY4741","BY4741_2",10.7507891654968,20.1564423553596
"77","SampleID%.0229_singlets.fcs","SBY1","SBY1_2",10.6661138534546,21.3127050276388
"78","SampleID%.0230_singlets.fcs","yBL216","yBL216_2",31.9842367172241,50.8984108395893
"79","SampleID%.0231_singlets.fcs","PC_yBL127","PC_yBL127_1",333.94450378418,207.792688729905
"80","SampleID%.0232_singlets.fcs","PC_yBL127","PC_yBL127_2",319.784805297852,194.585156827439
"81","SampleID%.0233_singlets.fcs","PC_yBL127","PC_yBL127_3",323.925765991211,212.019809146773
"82","SampleID%.0234_singlets.fcs","NC_yBL127","NC_yBL127_1",9.95277309417725,21.5747855550539
"83","SampleID%.0235_singlets.fcs","NC_yBL127","NC_yBL127_2",10.2734837532043,21.0976595801783
"84","SampleID%.0236_singlets.fcs","NC_yBL127","NC_yBL127_3",10.9920868873596,23.4887482081234
"85","SampleID%.0237_singlets.fcs","BY4741","BY4741_3",13.0354189872742,25.8659849763072
"86","SampleID%.0238_singlets.fcs","SBY1","SBY1_3",12.6830921173096,26.6480071021487
"87","SampleID%.0239_singlets.fcs","yBL216","yBL216_3",30.8478012084961,47.7939342832626
