"strain2","ligand1","meanofthree","dev"
"GPA1","0",3.46551942825317,0.23839104314081
"GPA1","0.01",3.65091856320699,0.0298109666772169
"GPA1","0.1",3.63933682441711,0.0862698522432187
"GPA1","1",4.91095836957296,1.07850970379507
"GPA1","10",26.0788195927938,0.948991673074491
"GPA1","100",211.949162801107,14.4245924515786
"GPA1","1000",280.515823364258,3.61948658737231
"Gαs/olf","0",3.07129267851512,0.296530036615765
"Gαs/olf","0.01",3.41087687015533,0.107437230251406
"Gαs/olf","0.1",3.66072591145833,0.0649722465520669
"Gαs/olf","1",3.66902796427409,0.0465110815381513
"Gαs/olf","10",3.7655971844991,0.0688092702138206
"Gαs/olf","100",12.6885275840759,1.6639185339858
"Gαs/olf","1000",32.9281225204468,3.5349046025964
"Gα12","0",2.95471862951914,0.131227611438351
"Gα12","0.01",3.1595710515976,0.307302370972025
"Gα12","0.1",3.47827506065369,0.0354706417531737
"Gα12","1",3.58358963330587,0.0557989094780214
"Gα12","10",3.67566136519114,0.0278055500502023
"Gα12","100",11.9828486442566,2.16280594710249
"Gα12","1000",38.5360584259033,1.79960875898271
"Gα13","0",3.71267739931742,0.142048902047251
"Gα13","0.01",3.95193592707316,0.0841957071895501
"Gα13","0.1",4.12268956502279,0.110435868835139
"Gα13","1",4.20949379603068,0.0704413630943119
"Gα13","10",6.06991990407308,0.758320050834829
"Gα13","100",84.5560938517253,11.7933446794133
"Gα13","1000",122.884059906006,9.20637467095797
"Gαi1/2","0",3.55945793787638,0.0803638257924622
"Gαi1/2","0.01",3.59547098477681,0.0593024873282568
"Gαi1/2","0.1",3.92112326622009,0.165882819816642
"Gαi1/2","1",13.455029964447,5.99951109257658
"Gαi1/2","10",82.4865531921387,10.1501610973532
"Gαi1/2","100",203.907457987467,12.1005239668629
"Gαi1/2","1000",227.437347412109,11.2814941464553
"Gαi3","0",3.3101791938146,0.152959683656586
"Gαi3","0.01",3.37570798397064,0.0845203778049186
"Gαi3","0.1",3.34811290105184,0.0268920212240153
"Gαi3","1",5.25027632713318,0.475269273385432
"Gαi3","10",45.5444774627686,2.77603449565173
"Gαi3","100",283.972345987956,12.9163593440388
"Gαi3","1000",338.413798014323,11.1012044178569
"Gαz","0",6.75994594891866,0.53949928147843
"Gαz","0.01",7.28111704190572,0.176738495374539
"Gαz","0.1",10.5060331821442,3.40957147312215
"Gαz","1",30.7357244491577,0.141603904336209
"Gαz","10",209.642723083496,9.10865888238114
"Gαz","100",364.521250406901,5.54849017307983
"Gαz","1000",360.708730061849,4.53138342437749
"Gα15/16","0",3.82483994960785,0.0861964040234658
"Gα15/16","0.01",3.93563230832418,0.0977107174885071
"Gα15/16","0.1",3.88692816098531,0.0820588595255713
"Gα15/16","1",6.90170407295227,2.03847097633677
"Gα15/16","10",31.5006907780965,8.48665781881084
"Gα15/16","100",193.97784169515,13.4271254760824
"Gα15/16","1000",234.60376739502,6.1032381375702
"Gαq/11","0",3.66489585240682,0.108211534691859
"Gαq/11","0.01",3.69533669948578,0.0443112262293091
"Gαq/11","0.1",3.68909275531769,0.206161421328435
"Gαq/11","1",3.67722547054291,0.10148036641915
"Gαq/11","10",3.81591780980428,0.193809438134241
"Gαq/11","100",18.0402245521545,3.32344089867216
"Gαq/11","1000",41.6875425974528,6.79880194146535
"Gα14","0",2.43644062678019,0.0905496102071515
"Gα14","0.01",2.54355359077454,0.0632204853999812
"Gα14","0.1",2.59052626291911,0.0635201610603521
"Gα14","1",2.65124277273814,0.0556095533008877
"Gα14","10",2.64918875694275,0.0175863026182116
"Gα14","100",2.65498157342275,0.0289372981247813
"Gα14","1000",2.65116270383199,0.0621366648615461
"Gαo","0",3.25659910837809,0.141902100815116
"Gαo","0.01",3.4347687959671,0.164716863338609
"Gαo","0.1",3.53396260738373,0.129588922744303
"Gαo","1",3.59753100077311,0.175400271776165
"Gαo","10",4.44625194867452,0.677822086365909
"Gαo","100",40.8002948760986,11.5734914161072
"Gαo","1000",92.7850519816081,5.53758975752962
"tGPA1","0",3.54906968275706,0.0329263532276129
"tGPA1","0.01",3.62135994434357,0.122926951203653
"tGPA1","0.1",3.71710352102915,0.0617460666756429
"tGPA1","1",3.78913696606954,0.0576161645882509
"tGPA1","10",3.85872375965118,0.0847689078077383
"tGPA1","100",3.67294875780741,0.0494966923610006
"tGPA1","1000",3.4859881401062,0.00808353981431969
