"","conc","media","ratio","meanofthree","dev"
"1",0,"MQ","10%",8.11119453112284,0.227738918070169
"2",0,"MQ","25%",9.23243347803752,0.121653864342932
"3",0,"MQ","50%",10.5880765914917,0.481448650919983
"4",0,"72h SM","10%",9.58060789108276,0.584543824376626
"5",0,"72h SM","25%",10.0058344205221,0.350259529027023
"6",0,"72h SM","50%",8.98702192306519,0.462934001729079
"7",0.01,"MQ","10%",8.24874671300252,0.311839688579829
"8",0.01,"MQ","25%",9.43893798192342,0.665387322156786
"9",0.01,"MQ","50%",12.1518193880717,0.699133506445385
"10",0.01,"72h SM","10%",8.54600811004639,0.0631906013849894
"11",0.01,"72h SM","25%",8.72746300697327,0.41844369008501
"12",0.01,"72h SM","50%",8.22113907337189,0.709257113397573
"13",0.1,"MQ","10%",12.0549221038818,0.381634061402864
"14",0.1,"MQ","25%",16.5589764912923,1.8383429097137
"15",0.1,"MQ","50%",28.0836846033732,10.5920231866297
"16",0.1,"72h SM","10%",9.55811882019043,0.725033443536624
"17",0.1,"72h SM","25%",8.90695031483968,0.610785820856935
"18",0.1,"72h SM","50%",8.52118539810181,0.364822218945185
"19",1,"MQ","10%",69.347407023112,4.35993908165546
"20",1,"MQ","25%",88.5082372029622,21.3060354169126
"21",1,"MQ","50%",153.546422322591,8.02541005768027
"22",1,"72h SM","10%",28.9824546178182,3.15457621329968
"23",1,"72h SM","25%",17.9975118637085,0.809704455419544
"24",1,"72h SM","50%",12.4664676984151,0.358729307330047
"25",10,"MQ","10%",258.690404256185,3.29096190575461
"26",10,"MQ","25%",263.690684000651,22.332368850681
"27",10,"MQ","50%",344.257603963216,8.63324219518818
"28",10,"72h SM","10%",190.828163146973,2.46005331389056
"29",10,"72h SM","25%",114.689146677653,1.5751273849389
"30",10,"72h SM","50%",47.9768492380778,1.01317577661078
"31",100,"MQ","10%",337.737050374349,1.79726568815251
"32",100,"MQ","25%",309.70068359375,0.262783956904781
"33",100,"MQ","50%",390.684534708659,28.6202560636967
"34",100,"72h SM","10%",323.469991048177,11.635507089702
"35",100,"72h SM","25%",229.868431091309,2.10211090972182
"36",100,"72h SM","50%",123.725475311279,3.32374756467233
"37",1000,"MQ","10%",352.256174723307,8.60109026715902
"38",1000,"MQ","25%",322.934356689453,9.19052699890478
"39",1000,"MQ","50%",400.859095255534,6.30798063813032
"40",1000,"72h SM","10%",310.424575805664,18.4517438301171
"41",1000,"72h SM","25%",237.795857747396,3.21123342991722
"42",1000,"72h SM","50%",139.504079182943,0.873719246948483
